match_id,date,venue,batting_team,bowling_team,innings,over,striker,non_striker,bowler,Runs_scored,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,22-Mar-24,Chennai,RCB,CSK,1,16.1,Anuj Rawat,Karthik,Mustafizur,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,16.2,Anuj Rawat,Karthik,Mustafizur,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,16.3,Anuj Rawat,Karthik,Mustafizur,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,16.4,Anuj Rawat,Karthik,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,16.5,Karthik,Anuj Rawat,Mustafizur,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,16.5,Karthik,Anuj Rawat,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,16.6,Anuj Rawat,Karthik,Mustafizur,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.1,Karthik,Anuj Rawat,Tushar Deshpande,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.1,Karthik,Anuj Rawat,Tushar Deshpande,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.2,Karthik,Anuj Rawat,Tushar Deshpande,1,0,1,1,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.2,Karthik,Anuj Rawat,Tushar Deshpande,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.3,Anuj Rawat,Karthik,Tushar Deshpande,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.4,Anuj Rawat,Karthik,Tushar Deshpande,0,0,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.5,Anuj Rawat,Karthik,Tushar Deshpande,6,6,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,17.6,Anuj Rawat,Karthik,Tushar Deshpande,4,4,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,18.1,Karthik,Anuj Rawat,Mustafizur,2,2,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,18.2,Karthik,Anuj Rawat,Mustafizur,1,1,0,0,0,0,0,,,
1,22-Mar-24,Chennai,RCB,CSK,1,18.3,Anuj Rawat,Karthik,Mustafizur,6,6,0,0,0,0,0,,,
